Name	P6_1_quant
NEUTE1DRAFT_126024	24.5185
NEUTE1DRAFT_150060	53.5198
NEUTE1DRAFT_133168	224.935
NEUTE1DRAFT_90927	13.8556
NEUTE1DRAFT_72234	10.0917
NEUTE1DRAFT_90925	7.53429
NEUTE1DRAFT_150050	6.58234
NEUTE1DRAFT_133163	39.3058
NEUTE1DRAFT_72221	29.0579
NEUTE1DRAFT_126009	22.1203
NEUTE1DRAFT_126007	11.8569
NEUTE1DRAFT_52321	14.0931
NEUTE1DRAFT_72212	23.493
NEUTE1DRAFT_72208	75.905
NEUTE1DRAFT_114466	0.099953
NEUTE1DRAFT_72204	99.3903
NEUTE1DRAFT_72201	496.43
NEUTE1DRAFT_150037	693
NEUTE1DRAFT_118811	1493.13
NEUTE1DRAFT_142725	124.857
NEUTE1DRAFT_133390	82.887
NEUTE1DRAFT_72184	22.8769
NEUTE1DRAFT_118808	88.7626
NEUTE1DRAFT_72168	29.8068
NEUTE1DRAFT_90849	51.2457
NEUTE1DRAFT_133133	5.36845
NEUTE1DRAFT_90834	20.2583
NEUTE1DRAFT_150775	9.04686
NEUTE1DRAFT_133131	1.49535
NEUTE1DRAFT_118801	14.246
NEUTE1DRAFT_72136	71.393
NEUTE1DRAFT_73770	65.4872
NEUTE1DRAFT_118799	38.2703
NEUTE1DRAFT_72118	38.1134
NEUTE1DRAFT_114431	218.192
NEUTE1DRAFT_92533	5.87353
NEUTE1DRAFT_90798	32.0986
NEUTE1DRAFT_118790	186.487
NEUTE1DRAFT_125962	60.4839
NEUTE1DRAFT_96707	417.271
NEUTE1DRAFT_105452	0.449159
NEUTE1DRAFT_125957	18.2726
NEUTE1DRAFT_126958	70.7609
NEUTE1DRAFT_90766	13.9393
NEUTE1DRAFT_90763	12.2219
NEUTE1DRAFT_106413	149.956
NEUTE1DRAFT_90760	181.119
NEUTE1DRAFT_133106	78.2887
NEUTE1DRAFT_149986	2.59766
NEUTE1DRAFT_72054	20.1146
NEUTE1DRAFT_149982	15.572
NEUTE1DRAFT_90737	22.5861
NEUTE1DRAFT_125941	10.9555
NEUTE1DRAFT_72037	56.1685
NEUTE1DRAFT_118776	291.593
